content,label
還是不錯的，反應還是比較快的！！！ 曬單： 收起 向左轉 向右轉 2017-12-10 21:54:20 追加： 電視外觀挺不錯的，玫瑰金的邊框彰顯美感。電視遙控操作起來也很方便，遙控器不錯，比較靈敏！還會繼續購買！！ 收起 向左轉 向右轉,positive
正品，很好，經常買,positive
不錯,positive
還不錯。性價比挺高的,positive
果然超薄，也沒有太多發熱，雙十二下單，除了送貨時間久點，其他都不錯,positive
不錯,positive
電視不錯，大品牌沒問題，比較清晰,positive
使用了兩周，效果不錯,positive
物流就是贊。服務態度好 ，開箱檢查確保沒問題。已上電測試，沒問題，清晰度好。,positive
電視還沒安裝，等待安裝。不過看著挺好的,positive
確實是沒有辜負期望，值得購買，信賴大！,positive
給父母買的，還不錯。不虧是小米。,positive
物流可以，裝機也快捷，不錯,positive
快遞送貨快，售後服務態度很好，安裝師傅上門安裝，耐心細緻講解疑問。電視清晰度高，音質不錯。暫時沒有發現問題。,positive
相信創維的品質，所以購買。收到貨比較滿意，邊緣即使有一點沒有全屏，不影響視覺，取出電視後會有指紋留在電視螢幕上面，一般的布可以擦處，比電腦螢幕容易擦拭，其實可以打包出售貼膜，這樣小孩子不會好奇一直留指紋到螢幕上，擦拭更容易。遙控比較好用，不看說明書都會使用了，這一點出比我想像的好。視覺滿意，在意聽覺效果的需要加上音響。本來擔心電視會碎屏，收快遞現場驗貨沒有這個問題，滿意的一次購物！,positive
電視機不錯，就是買小了，夏普是沒有退換這一說的，除非是大問題，讓師傅開簽定單，自己的原因，莫得法子，服務和性能肯定都是好評的，相信京東，全部的大件都是京東自營，?東繼續加油哦?懶得拍照片，就只拍了一下空調的，嘿嘿,positive
值得購買！功能強大，效果非常不錯！,positive
寶貝收到了，包裝很完整價格實惠，非常滿意的一次購物經歷！,positive
寶貝一級棒！師傅也太負責了！好評！,positive
電視品質不錯，色彩鮮豔 ，放客廳剛剛好，客服態度也不錯。,positive
挺好的，性價比高,positive
，電視機很好。價格便宜服務好，電視顯示效果還可以，,positive
電視不錯的。送貨上門，暫時還沒有安裝,positive
本人雙11買的 這個電視 外觀好看 檔次高 我的型號是創維65寸H7超薄的 昨天剛開機 電視給我感覺就是小了一點 我本來打算放客廳 現在放 臥室了 我房間要買創維100寸的藍牙遙控器 隨意切換一點都不卡，點什麼都是秒出來 好看 大氣我還要 再買一台100寸的.真的好喜歡他的架子 就是好看 不卡 大氣 買的你放心 買的你安心 買的你絕對不後悔走過路過 千萬別錯過 支持買 買買 差不多了 我去忙了 非常好,positive
電視收到了顯示幕非常清晰，價錢實惠非常滿意,positive
物流客服都很給力，比想像的還大，畫面也清晰。,positive
曲屏就是比一般的屏清晰，價格還不貴,positive
年會獎品，螢幕色彩不錯,positive
終於等到了他的到來，還沒看呢，但是之前的小米電視感覺不錯,positive
物流就是快 東西也是正品,positive
電視和想像的差不多！海爾大品牌，值得信賴，客服態度好！有啥事立馬解決！非常喜歡，值得大家購買，過幾天追評,positive
覺得是物有所值，首先送貨速度和送貨態度都非常滿意，然後打開電視，確實做工精細，畫面流暢清晰，操作也很人性化。總之，比較滿意！,positive
性價比超高，非常划算，而且機器也不錯，滿意！,positive
物超所值,positive
開箱通電後沒啥問題，送貨的師傅還是很負責的。曲面屏的確上檔次。自己上幾顆螺絲安裝了，希望不要出問題。,positive
"今天下單中午就到,速度快,下午馬上安裝!晚上就能看!神速!",positive
感覺不錯，裝起來美的很，現在只想看電視了，什麼都不想幹,positive
還很便宜值得這個價格很好,positive
產品很好，目前很滿意。但我支付的2年售後服務沒有任何憑證，我不知如何取得，請告知,positive
挺不錯的，價錢實惠,positive
漂亮，大氣，物超所值！,positive
東西不錯。很薄很輕。,positive
送貨上門超級快，特別給力，自己裝上了，特省事特方便，真的太超值了，爸媽特別喜歡。電視操作很簡單，主要遙控器方便。視頻好多電視劇，可以開開心心大屏追劇。哈哈哈哈哈京東就是快，風行就是好,positive
物美價廉哈，真行不錯，下次自己房間再買,positive
物流很快，顯示效果也非常不錯。,positive
用過一段時間，才來評價。電視很清晰，設計漂亮。很滿意的一次購物，感謝京東！謝謝送貨小哥！,positive
很好，兩點下單上午就到了，服務很好。,positive
京東超級會員，在京東買了好多東西，一直很好，售後還是物流都很滿意，東西超級喜歡,positive
物流很快，到貨後，第二天安裝，用的WiFi看，效果不錯。3999買的，物有所值，比去商場買感覺省時，省力，省不省錢，目前不知，估計應該貴不到哪去，也懶的去比價了。,positive
產品品質可以,positive
電視機效果非常好，顏色出彩。畫面清晰流暢。另外客服七喜、陽光、堅果的服務也很到位，棒棒噠。,positive
硬屏的圖像清晰，性價比高，希望後期不要出什麼品質問題,positive
媽媽說，電視機不錯，用一段時間再說唄,positive
電視機很滿意，大小也正好，畫質，音色都不錯，很棒。 另外橘子，西瓜客服棒棒噠,positive
不錯的小米電視，便宜！品質也不錯哦！性價比很高 曬單： 收起 向左轉 向右轉,positive
東西收到了快遞很給力，就是什麼配件都沒有，連最起碼的資料線都沒有,positive
挺好的！跟想像中的差不多！物流也快！送貨師傅也很好！,positive
整體效果很好，性價比超高！,positive
安裝師傅很負責，說是空心牆，多加了幾顆螺絲固定。電視試看了下感覺不錯。 曬單： 收起 向左轉 向右轉,positive
挺好的,positive
電視非常好，京東送貨非常快，安裝師傅也非常負責，態度很好，螢幕非常清晰，價格也非常合理，主要給孩子買來看動畫片，不愧是4k非常清楚，孩子很喜歡，而且非常薄，總之非常滿意,positive
很好用，色彩很好，簡單易用,positive
電視給父母買的，父母覺得很滿意,positive
給媽媽買的送貨超級快，免費安裝，送貨人員服務也很熱情，安裝師傅很用心，給媽媽耐心講解，媽媽說畫面很清晰，內容也很豐富，在家裡放著也不大，不占地方，挺好的電視,positive
就不上圖了 一句話還不錯,positive
臥室用的，畫面挺清晰，但是不能離近看，否則顏色會很詭異，安裝師傅挺好的,positive
京東就是好，速度快，送貨師傅認真負責，售後安裝態度好,positive
非常滿意，雙十二搶的，臥室以後也買這種,positive
還可以吧！還沒用 看著挺不錯的！物流也挺快 ！,positive
東西很好，經常在京東買東西,positive
1.新疆的，送貨很及時，態度也很不錯。2.安裝需要安裝費，可能是比較遠，不過沒有讓他安裝，自己裝的。3.電視很清晰但有時螢幕下面部分有些許花，時間很短，可能是網的問題，過段時間再看看。,positive
雙12買的電視_發貨速度很快_第二天就送到家裡了_當時打電話安裝師傅很快就到了_外觀很漂亮_圖像清楚！關鍵是前期服務確實不錯_,positive
海爾大品牌。售後不錯，用著放心。,positive
快遞服務好，好高大,positive
實惠值得購買，性價比高，下次再光顧,positive
電視收到了，畫面超清晰,positive
早上下單，一天后就收到貨。自己拿著底座裝好，第二天早晨起來打開電視看了兩個大片，色彩絢麗，音質很好，非常滿意！,positive
電視不錯，後面的藉口有弊端，電視掛牆後連線頂著牆了！,positive
電視機不錯，音響效果好，畫質清晰。我是雙十一買的，雙12的前兩天我才收到貨，打了好多投訴電話，讓我很不開心，耽誤了一個月的時間。安裝工得態度不錯，服務也好，給安裝工點個贊?,positive
送貨快，安裝快！,positive
大品牌 防靜電包裝 值得信賴！,positive
暴風電視蠻清楚的，外觀也漂亮，性價比可以,positive
看起來還不錯，電視劇很大的,positive
很好的購物體驗，產品更是沒得說，畫質，音質，絕對是物超所值！！,positive
今天剛收到貨，還不錯,positive
電視已經收到貨，整體來說，操作介面很清晰，很簡潔。會用普通電視遙控器，就能熟練操作風行電視。電視畫面非常清晰，應用包含許多內容，比如，電影，綜藝，幼兒卡通等等。螢幕大，我今年雙12下的單，活動價買的非常超值，曬單還給價值1500多元的風行3年的金牌會員，更超值啦。這個電視值得購買，一定推薦給身邊的朋友。,positive
我老媽可喜歡這電視了，不錯，不錯，五星好評,positive
電視到了，很不錯，安裝很方便。但是送兒童會員月卡還沒送，客服說到時會發短信給我,positive
就是薄，看著非常不錯。,positive
挺好的，是我喜歡的！,positive
東西收到了，京東發貨太快了，不錯！,positive
非常好的電視使用滿意,positive
不錯！很好用！視覺效果很棒！,positive
電視不錯，很喜歡,positive
雙十二搶購，價格很優惠，第二天就送到安裝，特意用了幾天才來評價。39寸放小客廳裡正好，畫面清晰，資源豐富，是部值得推薦的好電視！,positive
螢幕非常清晰,positive
物超所值 曬單： 收起 向左轉 向右轉,positive
物流快，大電視看著就是舒服！,positive
京東客服商家客服都好！電視有點問題當天回饋第二天就來換新！售後好！打電話就來！京東值得信賴！,positive
不錯，值。,positive
電視還沒開始用，今天師傅上門安裝在了牆上，超贊！,positive
小米官網比這裡貴一塊錢，嘟嘟嘟諾諾頭，用起來非常好。祝福我倆同學看著電視和和美美，幸福永久！,positive
好 挺不錯的 很薄不占地方,positive
不錯，很好，性價比很高，值得推薦購買，做工精緻,positive
好，用了很長時間才來評論，很清晰,positive
買給爸媽還不錯,positive
東西十分不錯，很實用，還會再買,positive
真的，很好，京東快遞不用說，兩天就到了，送貨上門，服務態度很好，這電視買值了，很清晰，兒子挺喜歡看電視的，連接無線網是也挺流暢的，特地使用幾天之後再來評價的，,positive
電視很棒。,positive
價格便宜，值得購買,positive
饑餓行銷，永遠都是搶購的節奏，性價比還是挺高的，至於品質只有用過的才知道！,positive
70寸，剛好夠大。清晰度不錯，希望品質沒問題！ 曬單： 收起 向左轉 向右轉,positive
不錯不錯,positive
一共買了六台，創維的電視值得信賴，客服的態度也是棒棒的,positive
1、去年雙十一價格大概1800，今年由於面板等部件漲價2500。 2、電視需要配置，關機開機是個大問題，我作為一個IT從業人員，都感覺開機是個大問題，不管怎麼設置，總是達不到你要的效果。需要改進：接通電源有指示燈亮，如果手開電視開關，不管其他怎麼設置開通電視。 3、老人和非年輕人基本上不會用。都喊著要退貨，可惜已經過了7天退貨期，因為其他牌子的老人基本上插上電，按下遙控就可以看，這款電視只要你斷電再開，有的受。 4、還遇到wifi問題，時不時不靈。需要電信調整dns解析，但我自己調整路由器dns設置，後續繼續試用中。 　　支持國產牌子，看來路還長呀。,negative
不錯，就是系統不太好，不適合老人操作,negative
除了開機慢點以外，其他都還能接受，基本算是物美價廉吧，京東自營的電器可以放心。唯一的遺憾是網路不行，無法刷卡支付。京東幫工作人員很給力，好評。,negative
除了開機有點慢，其他都挺好,negative
電視不錯的，不過老爸老媽嫌系統麻煩，用了華數的機上盒。。。浪費了會員呀,negative
電視很清晰，4k裡面這個尺寸微鯨是最好的，沒買電視機櫃，直接幹到牆上去，叔叔辛苦了。寶貝基本與賣家描述一致，就是開機有點慢?,negative
電視價格便宜 送貨快 電視跟掛架是分開的到的 安裝收100元 不錯 就是開機要調信號源比較麻煩,negative
電視品質一般，看電視有點卡了,negative
東西不錯，就是老人家不會用。,negative
發貨快除開機有點慢，其他還行,negative
感覺不錯，性價比不錯，功能挺多，就是遙控器沒有九鍵，有點不開森,negative
剛收到 開機有點慢,negative
購買的時候沒有注意電視機參數，厚度太厚了，沒有語音助手，解析度真心不行！客觀來說：這個價格不值得買這款微鯨！之前微鯨價格有優勢，現在價格成一路上升趨勢！買家購買時刻謹慎.2顆星主要給送貨師傅的、態度非常好！有責任心！,negative
還可以吧。只能說一般，沒有宣傳的好，拿回家兩天，總是死機，而且螢幕的想去不太好。,negative
價格不算太貴 但是開機實在是慢啊親，，，，，，，，，，，，，，，，，，物流挺快,negative
今天就收到了，物流挺快的，畫面清晰，就是沒有標配語音遙控器是個遺憾，還有長鬚鯨客服棒棒噠??,negative
京東完美貼心的服務，快，此款電視機各位面都不錯，軟體按裝放便，就是開機有點慢。,negative
就是開機有點慢，別的都還不錯?,negative
開機有點慢,negative
開機有點慢，但是超清啊，可以直接連WIFI也很方便啊，能看的片子挺多的,negative
開機有點慢，而且略微有點卡，不知道是不是正常,negative
開機有點慢，用起來還行,negative
看了幾天才評價，目前還不錯，就是每次開機有點慢，估計沒設好！先來個好評！,negative
看有線電視的時候有時螢幕會變得很大，下面字會顯示不出來,negative
客服很好，電視款式不錯，清晰度也不錯，就是作業系統較麻煩點，連接網路需要自己動手下直播！！,negative
聯網不行自動跳臺很不滿意,negative
目前用著，反映很慢切換要黑屏好久,negative
首先說螢幕，採用群創的，顯示效果沒有優勢，沒法和同價位某米比，系統也不怎麼樣，開機不快，對顯示效果要求較高的，不建議，但對於性價比來說還算可以，發貨速度得贊一個，客服小虎鯨，獨角鯨，小魚鯨客服棒棒噠！物流服務也贊一個，比預定時間提前了一天送過來！,negative
說下我買微鯨的經歷吧！本來不是很看好這個牌子，當時想買暴風X45，但是微鯨電視的設計征服了我，背部流線型設計真的不錯，尤其那個防塵散熱孔特別到位，底部引出的指示燈也深得民心。不過細節之處仍然需要加強，大家可以看圖二是有很大縫隙的。配置中等畢竟15年產品 買電視主要還是買螢幕 以後可以買電視盒子 但是系統優化非常好基於安卓5.0.2深度定制 體驗這麼久基本無卡頓 開關機沒有任何廣告 開機10S 關機5S 差不多這個樣子 螢幕物理解析度確實是4K 是不是LG原裝螢幕我沒檢測出來 但是是硬屏 是RGBW 4色偽4K 有輕微中間亮4周暗的情況（可以接受）不過漏光控制的不錯 色彩的話輕微發白 值得一體的是遙控器手感特別棒 既不是紅外也不是2.4G 而是採用了成本更高 功耗更低的藍牙 語音辨識也很準確 雖然我不用底座 但是底座質感非常好 配了扳手多給了一顆螺絲釘也很用心 Wi-Fi模組不是很好 網速衰減很嚴重 但是從來沒有出現過開機連接不上的情況 我安了有線網路之後又了一定的提升 我100M的網路 有線網路在3MB左右徘徊 很是無奈 開始收到的壞機器（見圖一）聯繫老闆之後也得到解決了 老闆為人厚道,negative
挺好的，就是開機有點慢,negative
我覺得這款電視機嗎整體來說真的還不錯，性價比，還可以，但是我看到，評論上有人說，2400多份2600多就買到了，我買的是2898，應該是2900塊錢，整體來說雖然價格比之前高了一點，但是還是蠻划算的嘛，另外，開機，第一天到還好，第二天開機的時候在途中第二頁，停頓了大概三分鐘左右時間，確實挺麻煩的,negative
系統不行 老是死機,negative
用了幾天東西還是不錯的，除了開機有點慢之外，畢竟只有1G記憶體，其他基本沒啥毛病。,negative
之前壞了，免費換的，感覺反應好像慢點，先用到時再看,negative
總體感覺不錯，夠清晰，效果不錯。開機有點慢，要個幾分鐘。還有就是聽說比前幾個月貴了幾百塊。。。,negative
最煩就是歧視32寸的，遙控器是紅外線的，其他型號都是藍牙的，可以配對，現在操作起來很不方便,negative
"4.5故障,下午報修 4.6微鯨上門檢測出具報告,裝箱打包 4.7京東換貨完畢 感覺暗了點,色彩不如原來",negative
55寸電視很大氣，聲音效果相當不錯，同類電視裡面聲音效果絕對是上等，畫面的畫質也不錯，就是用藍光效果看電影動態效果微有拖影，本來想買55寸曲面的，有個動態效果加速，反正也沒有比較過，感覺在這個價位裡面應該也是處理的最好的了吧，整體效果不錯，非常滿意，看系統資源的東西沒有廣告挺好的。但是開機時間有點長，語音的識別不是很準確，邏輯不是很清晰，希望以後系統更新能加強。也是看到很多評論說這個互聯網電視不錯，所以在小米、樂視、微鯨裡面選了微鯨，接下來就是看電視能用多長時間了，希望中國製造越來越好。,negative
幫朋友的家人買的，解析度低到不要不要，1366×768也是醉了，應該是供應鏈上08年標準的面板。不過其他的牌子也都這樣，好處是系統可以，配置也不錯，對於1298來說，如果是2G運行就更好了,negative
不行，畫質太差了。便宜沒好貨！,negative
差評，電視上有兩個壞點，上門看了之後說國家規定三個點是良品，京東不換不退不修，垃圾電視垃圾京東！,negative
除了有漏光問題，其他都挺好，回應速度很快，系統也穩定，目前沒有出現什麼軟體停運問題。,negative
第二台微鯨電視，性價比高，輕微漏光，比去年貴了不少,negative
第一次商品有一個壞點，看了沒多久無法開機，第二次兩個壞點，售後說不算故障~~可購買前諮詢過商家承諾是無壞點的！期待這個能用的住吧~,negative
電視不錯，清晰度還算可以，最底部往上有稍微漏光，4K資源沒有就試不出。希望品質有保證，使用長久點。支援新興品牌。快遞小哥服務好。,negative
電視感覺還好吧，有點輕微的漏光，總體感覺還好畢竟一分錢一分貨嘛！,negative
電視剛安裝好，說實話，畫質不怎麼樣,negative
電視功能不錯，速度很快很好。可以自訂安裝軟體。唯一不滿意是液晶顯示不夠豔麗，顏色偏黃偏暗。再繼續看看後續希望能適應,negative
電視還可以，晚上看著有漏光的地方，但是不耽誤看，對得起這個價格,negative
電視還可以吧，清晰度一般般，可以裝軟體看直播，不過沒法自己換主頁，進入自己安裝的應用也比較麻煩，沒有手機那樣直觀，電視自帶的系統資源還是有不少，不過有些需要開通VIP才能看，總體來說還行吧，物有所值了！,negative
電視還可以就是有點漏光，千多元就不挑了懶得換。,negative
電視很便宜，只要1三四九就能入手，真心值，除了有點小漏光，系統流暢。,negative
電視很清楚 .就是底下有點漏光 總的來說還不錯吧,negative
電視送的很快昨天下單，今天早上就送到家了。電視看起來做工好，螢幕沒有看到漏光。用機上盒看的節目，解析度和家裡的舊電視看著是有差別。繼續觀察了。,negative
電視挺大的，就是不太清晰。有那種顆粒的感覺。家裡人挺喜歡的。物流有點慢。,negative
訂單下了，物流很快第二天就到了，師傅小心翼翼的拆開我看，還可以，聲音比較大，螢幕還是很清晰的就是資源少了一點送了六個月的會員，螢幕表現和暴風t v55X 差不多，四色4k，快速鏡頭有拖印，有漏光，但是我不在乎。就看後面表現了，希望能一直看下去，持續評論中。,negative
都說康佳的電視好比海爾的好，沒有對比就沒有傷害，先是自己家買了個海爾模卡1080P的電視，這台康佳是買給岳父加的，價格海爾的貴著400元，但這個是4K。從顯示效果上看，海爾模卡1080P，完勝這台，無論從色彩還是清晰度。這個看著螢幕有影，有影。憑良心說話。,negative
對比了小米、樂視、海信，最終選擇了微鯨。到貨很快，京東配送人員服務也很好。55寸的放在客廳很合適，安裝很簡單，自己安裝的，電視清晰度挺高的（當然前提是網速得好），音響效果挺不錯的，晚上開的時候能看到漏光現象，可以直接連接無線，很方便，送了一年的會員可以看4K和藍光，資源挺豐富的。最後，希望可以用的久一點吧,negative
解析度太差了，遠處都看不清。,negative
還行，但是螢幕感覺顯示有問題,negative
還行，買了兩台，這台螢幕上方有漏光現象，保留售後權利。望加強品控！,negative
還好，就是轉TV看的時候清晰度不夠，安裝的師傅說是機上盒問題，還有就是看電影等需要開通會員才可以看，不過商家免費送了6個月會員還可以。,negative
還可以 右下角有點漏光。,negative
還是不錯的，滿意。價格便宜啊，上圖。但做顯示器的話4K也不行啊,negative
畫質不行，其他都還OK，這個價格也就這樣了,negative
畫面有點失望，同樣的片源在公司裡面的同樣解析度的樂視和小米上面表現更好，白天色彩不鮮豔，在操作上不夠智慧，操作介面也不方便，就想播放時不能調色彩和音效，電視自帶音響比樂視好，其他表現一般,negative
京東物流可靠，包裝嚴實。漏光證明了ips血統，全黑之下比較明顯但不算嚴重。就沖著這個屏就值回票價，色彩的還原和過度原勝臺灣屏的機型，隨機智慧系統比較傻瓜，希望能提供工廠模式的入口，方便調節hdmi輸入的偏移,negative
久聞微鯨電視大名，最近有朋友要買電視，就推薦一下，樂視最近新聞很多，感覺快不行了，小米漲了好幾百，超朋友預算。這款是新出的，價格比去年那款還便宜，註定了這款是縮水版。由於沒通廣電，只試了幾個視頻。畫質方面，亮度一般，畫面平面化，色彩平淡，上下有漏光，動態很一般。朋友只求耐用，其他沒啥要求,negative
開箱，驗貨，通電，試機。京東的配送很滿意。不上牆，自己安裝，十分簡單。目前用下來，沒有不好的地方，遺憾的是有線的信號解析度太低了，沒有顯示出4K的優勢。其他問題只能等用一段時間後再評論了。,negative
快遞師傅幫搬好和裝上去，太感謝了！還行這個價位特挺清晰的喇叭沒評論說得那麼垃圾各種看電影連wifi網路看都行遊戲也能玩，就是感覺遙控器不夠靈敏，第2天看有種卡屏成一條條橫條紋 不知道是顯示器問題還是網路問題。用數位電視看的時候覺得很模糊，後來師傅說是因為數位電視沒升級到高清的緣故，切換各種電影時確實很清晰。本來打算買平板但是男朋友說不如這個實用，總體比較滿意 謝謝獨角鯨哦很耐心解答疑慮。唯一不足下單後發現忘了拍多個運費險辦理退款打算重新拍，人工客服都不線上就自己申請退款，神奇的是半小時不到就給我發貨了，還好電視機沒破損什麼不用辦理退換貨。,negative
兩個角落漏光嚴重，希望品質好點吧,negative
亮點 漏光,negative
漏光在可接受的範圍內這價位可以,negative
